,Games,Over/Under,3-way
314,"Mouloudia Oujda
Club Chabab Riadi Salmi",2.5 2.38 1.53,2.17 3.00 3.05
315,"Chabab Atlas Khenifra
Wydad Fes",1.5 1.48 2.48,3.10 2.75 2.35
316,"Querétaro FC
Santos Laguna",2.5 2.28 1.58,2.90 3.05 2.40
317,"CF Pachuca
Pumas UNAM",2.5 2.08 1.71,1.71 3.45 4.75
318,"Tigres UANL
Chivas Guadalajara",2.5 2.48 1.50,1.65 3.50 5.20
319,"Pumas UNAM (D)
Toluca (D)",2.5 1.71 2.02,1.90 3.50 3.35
320,"Leones Negros UDG Premier
UA Zacatecas",2.5 1.97 1.76,2.10 3.40 2.90
321,"Catedraticos Elite FC
Correcaminos Uat II",2.5 1.77 1.97,1.90 3.50 3.30
322,"Deportivo Dongu FC
Canoneros Marina",2.5 1.71 2.04,2.10 3.40 2.85
323,"Real Colima
Alacranes de Durango",2.5 1.72 2.02,3.25 3.30 2.00
324,"FK Cetinje
Jedinstvo Bijelo Polje",2.5 2.23 1.58,6.00 3.30 1.55
325,"FK Berane
FK Bokelj",2.5 2.43 1.50,3.20 2.80 2.25
326,"FK Kom Podgorica
OSK Igalo",2.5 2.25 1.57,3.20 3.00 2.10
327,"FK Arsenal Tivat
OFK Titograd Podgorica",2.5 2.07 1.68,1.35 4.25 7.00
328,"FK Decic Tuzi
FK Iskra Danilovgrad",2.5 2.14 1.64,1.87 3.00 3.75
329,"Sutjeska FK
Rudar Pljevlja",2.5 1.96 1.76,1.45 3.65 5.50
330,"PSV Eindhoven
FC Twente",2.5 1.58 2.38,1.33 5.50 8.50
331,"Heracles Almelo
Ajax",3.5 1.95 1.85,12.00 6.50 1.23
332,"SC Heerenveen
Vitesse",2.5 1.70 2.16,2.45 3.50 2.80
333,"AZ Alkmaar
PEC Zwolle",2.5 1.57 2.40,1.23 6.25 12.50
334,"Sparta Rotterdam
Feyenoord",2.5 1.64 2.25,5.80 4.35 1.54
335,"NEC Nijmegen
FC Groningen",2.5 2.00 1.82,2.55 3.25 2.85
336,"Excelsior Rotterdam
FC Eindhoven",2.5 1.60 2.25,1.64 4.10 4.50
337,"TOP Oss
NAC Breda",2.5 1.74 2.02,3.25 3.55 2.06
338,"Spakenburg
Quick Boys",2.5 2.18 1.67,2.55 3.45 2.55
339,"Real Estelí
Diriangen FC",/,/
340,"H&W Welders
Ballinamallard United",2.5 1.60 2.23,2.40 3.75 2.40
341,"Coleraine
Portadown",3.5 2.12 1.66,1.18 6.00 9.50
342,"Cliftonville
Glenavon",2.5 1.60 2.28,1.85 3.75 3.20
343,"Warrenpoint Town
Crusaders Belfast",3.5 2.30 1.58,6.10 4.70 1.35
344,"Linfield
Dungannon Swifts",3.5 1.86 1.86,1.23 5.50 8.50
345,"Ballymena United
Larne FC",2.5 1.63 2.20,4.25 3.90 1.60
346,"Kristiansund BK
Tromsø",2.5 1.73 2.12,2.10 3.60 3.30
347,"Rosenborg
Lillestrøm",3.5 2.40 1.56,1.53 4.50 5.60
348,"Kongsvinger
Bærum",3.5 2.16 1.65,1.08 9.50 29.00
349,"Florø SK
Tromsdalen",3.5 2.04 1.70,4.05 3.95 1.65
350,"Senja
Hødd",3.5 2.02 1.70,8.40 5.30 1.24
351,"Shakhtar Donetsk
Desna Chernihiv",2.5 1.53 2.43,1.10 7.50 18.00
352,"FC Ingulets Petrovo
Veres Rivne",2.5 2.28 1.60,2.20 2.95 3.25
353,"Kolos Kovalivka
FC Lviv",2.5 2.08 1.68,1.85 3.35 3.80
354,"Avanhard Kramatorsk
Hirnyk-Sport",2.5 2.04 1.70,2.35 3.15 2.55
355,"Al-Suwaiq (OMN)
Al Nasr (OMN)",2.5 2.40 1.50,2.25 3.05 2.65
356,"Austria Klagenfurt
Admira",2.5 1.86 1.90,2.40 3.40 2.75
357,"Rheindorf Altach
Hartberg",2.5 1.83 1.92,2.80 3.50 2.30
358,"Ried
Red Bull Salzburg",3.5 1.95 1.78,14.00 7.50 1.15
359,"WSG Swarovski Tirol
Austria Wien",2.5 1.70 2.08,2.70 3.40 2.45
360,"Sturm Graz
Wolfsberger AC",2.5 1.62 2.23,1.85 3.70 3.80
361,"Austria Wien II
Kapfenberger SV 1919",4.5 2.00 1.76,6.00 3.65 1.56
362,"FC Juniors OÖ
SKU Amstetten",3.5 2.23 1.62,3.35 3.60 1.87
363,"St. Pölten
Oostenrijk Lustenau",2.5 1.57 2.33,2.25 3.50 2.63
364,"Tauro FC Reserves
San Martin FC",2.5 1.81 1.91,1.88 3.30 3.15
365,"Atlético Nacional (PAN)
San Francisco FC B",2.5 1.76 1.97,1.45 3.90 5.00
366,"CD Universitario
San Francisco FC",1.5 1.57 2.28,2.75 2.60 2.80
367,"Tauro FC
Árabe Unido",1.5 1.54 2.33,2.25 2.80 3.30
368,"Atlético Chiriquí
Azuero FC",1.5 1.48 2.48,2.65 2.80 2.70
369,"12 de Octubre
Libertad Asuncion",2.5 1.78 1.98,4.20 3.40 1.75
370,"Guaraní
Sportivo Luqueño",2.5 1.83 1.93,1.62 3.50 5.20
371,"UTC Cajamarca
Universidad de San Martin de Porres",2.5 2.25 1.65,2.95 2.95 2.45
372,"Sporting Cristal
Sport Boys",2.5 1.73 2.12,1.78 3.45 4.20
373,"Carlos A. Manucci
Academia Cantolao",2.5 1.86 1.96,1.55 3.85 5.40
374,"EM Deportivo Binacional
César Vallejo",2.5 1.87 1.94,2.70 3.05 2.55
375,"Alianza Universidad
Ayacucho FC",2.5 1.82 2.00,3.70 3.30 1.95
376,"Alianza Atletico
Deportivo Municipal",2.5 1.77 2.06,1.97 3.45 3.45
377,"Cusco FC
Sport Huancayo",2.5 1.86 1.95,1.75 3.60 4.20
378,"Warta Poznań
Lechia Gdańsk",1.5 1.57 2.28,3.90 2.95 2.07
379,"Górnik Zabrze
Zagłębie Lubin",2.5 1.93 1.87,1.90 3.60 3.90
380,"Jagiellonia Białystok
Piast Gliwice",2.5 2.18 1.68,2.35 3.25 3.00
381,"Wisła Płock
Wisła Kraków",2.5 1.90 1.90,2.25 3.40 3.10
382,"Resovia
Widzew Łódź",2.5 2.23 1.61,3.10 2.95 2.28
383,"LKS Lodz
Górnik Polkowice",2.5 1.93 1.82,1.62 3.65 4.75
384,"Miedź Legnica
Arka Gdynia",2.5 2.05 1.73,2.55 3.15 2.55
385,"Ruch Chorzów
Olimpia Elbląg",1.5 1.74 2.04,2.05 3.00 3.95
386,"MKS Kluczbork
Miedź II Legnica",2.5 1.55 2.32,3.50 4.00 1.72
387,"Zawisza Bydgoszcz
ZKS Kluczevia Stargard",3.5 2.08 1.67,1.15 7.00 10.00
388,"Pelikan Łowicz
Blonianka Blonie",2.5 1.72 2.02,2.25 3.50 2.60
389,"Zagłębie II Lubin
Karkonosze Jelenia Góra",3.5 1.80 1.91,1.25 5.50 7.50
390,"Ślęza Wrocław
Odra Wodzisław",2.5 1.57 2.28,1.45 4.20 5.50
391,"Olimpia Grudziądz
Starogard Gdanski",2.5 1.54 2.33,1.28 5.00 7.50
392,"Wisla Sandomierz
KSZO Ostrowiec Świętokrzyski",2.5 1.81 1.90,3.30 3.50 1.90
393,"LKS Lagow
Siarka Tarnobrzeg",2.5 1.65 2.10,2.40 3.40 2.50
394,"FC Porto
Boavista",3.5 2.28 1.63,1.14 7.50 17.00
395,"Estoril
Benfica",2.5 1.75 2.07,6.75 4.50 1.42
396,"Sporting Lisbon
Vitoria Guimarães",2.5 1.88 1.92,1.48 4.35 6.25
397,"S.C. Espinho
Valadares Gaia FC",2.5 2.10 1.66,2.10 3.15 3.05
398,"Peniche
GD Fontinhas",2.5 2.33 1.54,2.85 3.10 2.23
399,"CF Estrela
FC Porto B",2.5 1.90 1.86,2.30 3.30 2.75
400,"Mafra
Sporting Covilhã",2.5 2.18 1.64,1.80 3.30 4.10
401,"Al Duhail SC
Qatar SC",2.5 1.54 2.32,1.43 4.10 5.50
402,"Al Shamal
Al Khor",2.5 1.67 2.08,2.75 3.25 2.23
403,"Al Sadd (QAT)
Al Ahli (QAT)",3.5 1.68 2.06,1.06 8.50 16.00
404,"Al Arabi (QAT)
Al Rayyan",2.5 1.70 2.04,2.80 3.35 2.14
405,"Universitatea Craiova
Mioveni",2.5 1.88 1.92,1.30 5.30 9.00
406,"CFR Cluj
SC FC Voluntari SA",2.5 2.48 1.54,1.46 3.70 8.50
407,"Gaz Metan Mediaş
Academica Clinceni",2.5 2.43 1.56,1.78 3.25 5.00
408,"Ripensia Timișoara
FC Buzău",2.5 1.89 1.83,3.25 3.20 2.02
409,"Dunărea Călărași
Csikszereda Miercurea Ciuc",2.5 1.86 1.86,6.75 4.40 1.33
410,"Astra Giurgiu
Petrolul Ploieşti",2.5 2.02 1.72,6.75 3.85 1.40
411,"Unirea Dej
ASU Poli Timișoara",2.5 2.35 1.54,2.70 3.05 2.43
412,"Spartak Moscow
FC Rostov",2.5 2.08 1.68,1.60 3.75 5.10
413,"FC Krasnodar
Krylya Sovetov Samara",2.5 1.58 2.28,1.48 4.35 6.00
414,"FC Olimpiyets Nizhny Novgorod
Lokomotiv Moscow",2.5 2.08 1.70,4.25 3.35 1.85
415,"Ufa
FC Akhmat Grozny",2.5 2.35 1.56,2.60 3.05 2.75
416,"Arsenal Tula
FK Sochi",2.5 1.90 1.85,4.00 3.60 1.82
417,"SKA Energiya Khabarovsk
Neftekhimik Nizhnekamsk",2.5 2.38 1.52,2.20 2.95 3.05
418,"FK Dolgoprudny
Rotor Volgograd",2.5 2.38 1.53,3.20 2.95 2.10
419,"Tekstilshchik Ivanovo
Kamaz Chelny",2.5 2.32 1.55,3.05 2.95 2.20
420,"Metallurg Lipetsk
Gazovik Orenburg",2.5 1.86 1.86,8.50 4.25 1.28
421,"Volgar-Gazprom Astrakhan
Akron Tolyatti",2.5 2.33 1.54,2.65 2.75 2.60
422,"Veles Moscow
Fakel Voronezh",2.5 1.96 1.77,3.10 3.30 2.00
423,"FK Urozhay Krasnodar
Yenisey Krasnoyarsk",2.5 1.89 1.83,2.95 3.30 2.10
424,"Al Ittifaq (KSA)
Al Dhamk",2.5 1.58 2.30,1.90 3.30 3.65
425,"Al Taawon Buraidah
Abha",2.5 1.68 2.10,1.82 3.65 3.65
426,"Al Feiha
Al Nassr (KSA)",2.5 1.77 1.96,4.20 3.60 1.70
427,"Dundee United
St Johnstone",1.5 1.56 2.43,2.55 3.05 2.88
428,"Celtic
Livingston",3.5 2.16 1.70,1.15 8.00 16.00
429,"Aberdeen
Hearts",2.5 2.18 1.68,2.65 3.25 2.65
430,"St Mirren
Dundee FC",2.5 2.00 1.80,2.00 3.45 3.65
431,"Ross County
Hibernian",/,/
432,"Motherwell
Rangers FC",2.5 1.74 2.08,7.50 4.60 1.40
433,"Raith Rovers
Ayr United",2.5 1.98 1.78,1.80 3.50 4.00
434,"Partick Thistle
Inverness CT",2.5 1.98 1.78,2.43 3.15 2.80
435,"Greenock Morton
Hamilton Academical",2.5 2.55 1.48,2.75 3.15 2.48
436,"Kilmarnock
Queen of the South",2.5 1.82 1.93,1.55 4.10 5.00
437,"Arbroath
Dunfermline Athletic",2.5 1.98 1.78,2.00 3.45 3.35
438,"Alloa Athletic
Airdrieonians",2.5 1.82 1.93,2.95 2.80 2.50
439,"Peterhead
Montrose",2.5 1.78 1.98,3.05 3.20 2.20
440,"East Fife
Dumbarton",2.5 1.78 1.98,2.10 3.55 2.95
441,"Cove Rangers
Queen's Park",2.5 1.88 1.88,2.18 3.55 2.80
442,"Clyde
Falkirk",2.5 1.78 1.98,3.75 3.60 1.80
443,"Kelty Hearts
Stirling Albion",2.5 1.68 2.10,1.60 3.60 4.90
444,"Annan Athletic
Cowdenbeath",2.5 1.77 2.00,1.70 3.50 4.30
445,"Stranraer
Forfar Athletic",2.5 1.85 1.90,2.75 3.30 2.30
446,"Lothian Thistle
Dunbar United FC",3.5 1.96 1.76,2.15 3.80 2.65
447,"Albion Rovers
Brora Rangers",3.5 2.33 1.55,2.00 3.60 3.00
448,"FK Kabel Novi Sad
Javor Ivanjica",2.5 2.23 1.60,8.50 3.50 1.40
449,"Radnički Niš
Mladost Lučani",2.5 1.80 1.91,1.38 4.00 6.25
450,"MFK Skalica
FK Humenné",2.5 2.28 1.57,1.77 3.15 3.95
451,"Samorín
Žilina B",3.5 2.05 1.68,2.50 3.45 2.23
452,"Ružomberok
SKF Sered",2.5 2.17 1.62,1.73 3.35 4.00
453,"Tatran Liptovský Mikuláš
DAC Dunajska Streda",2.5 1.58 2.23,4.20 4.20 1.54
454,"Zemplín Michalovce
FK Pohronie",2.5 1.74 1.98,1.50 4.10 4.60
455,"Žilina
Zlaté Moravce",3.5 2.30 1.55,1.48 4.20 4.60
456,"Olimpija Ljubljana
NK Bravo",2.5 2.25 1.58,1.74 3.35 4.00
457,"Drava Ptuj
NK Krka",3.5 1.85 1.86,6.80 5.25 1.30
458,"Elche
Real Madrid",2.5 1.82 1.91,1001.00 141.00 /
459,"Sevilla
Osasuna",2.5 2.10 1.74,1.55 4.00 7.00
460,"Valencia
Villarreal",2.5 1.95 1.85,2.95 3.30 2.55
461,"FC Barcelona
Alavés",3.5 2.40 1.57,1.26 6.40 11.50
462,"Cadiz
Mallorca",1.5 1.55 2.45,2.63 2.95 3.15
463,"Huesca
SD Amorebieta",2.5 2.10 1.68,1.70 3.40 5.30
464,"Lugo
Sporting de Gijón",1.5 1.48 2.55,3.10 2.85 2.60
465,"FC Cartagena
Ponferradina",2.5 2.20 1.64,2.10 3.00 3.90
466,"Fuenlabrada
Girona FC",2.5 2.48 1.50,2.65 3.05 2.80
467,"Real Betis (D)
Athletic Club Bilbao (D)",2.5 1.86 1.86,3.05 3.30 2.00
468,"Levante (D)
Cajasol Trigueros Universidad (D)",3.5 2.23 1.58,1.20 5.50 8.00
469,"Deportivo Alaves (D)
UD Granadilla Tenerife (D)",2.5 1.72 2.02,2.80 3.15 2.20
470,"FC Barcelona (D)
Real Sociedad (D)",/,/
471,"Atlético Madrid (D)
Villarreal CF (D)",/,/
472,"Rayo Vallecano (D)
Sevilla (D)",2.5 1.65 2.14,5.10 3.60 1.50
473,"Deportivo La Coruña
Zamora CF",2.5 2.20 1.60,1.32 4.00 8.50
474,"Tudelano
Cultural Leonesa",2.5 2.00 1.72,2.80 3.10 2.30
475,"CD Badajoz
Extremadura UD",1.5 1.47 2.50,1.60 3.10 6.00
476,"Internacional de Madrid
Unionistas de Salamanca CF",2.5 2.48 1.48,2.75 3.20 2.30
477,"SD Logroñés
Bilbao Athletic",2.5 2.12 1.65,2.20 3.00 3.10
478,"Celta Vigo B
UD Logroñés",2.5 2.32 1.55,2.60 3.00 2.50
479,"Betis Deportivo
UE Costa Brava",2.5 2.38 1.52,2.05 2.85 3.60
480,"Albacete Balompié
San Fernando CD",2.5 2.20 1.60,1.62 3.30 5.40
481,"CD Castellon
Atletico Baleares",2.5 2.28 1.57,2.30 3.00 2.85
482,"Alcoyano
Algeciras CF",2.5 2.14 1.64,2.30 2.90 3.00
483,"Linense
Atletico Sanluqueño CF",1.5 1.58 2.23,2.25 2.70 3.30
484,"CD Leganes B
Club Marino de Luanco",2.5 2.23 1.58,2.00 3.00 3.50
485,"Bergantiños CF
CD Arenteiro",2.5 2.33 1.54,2.00 3.00 3.50
486,"UP Langreo
Real Avilés CF",2.5 2.33 1.54,2.60 2.85 2.60
487,"UC Ceares
CDA Navalcarnero",2.5 2.23 1.58,2.25 3.00 3.00
488,"CD Móstoles URJC
UD Llanera",2.5 2.23 1.58,1.90 3.10 3.75
489,"SD Compostela
Gimnástica Segoviana",2.5 2.23 1.58,2.10 3.00 3.25
490,"UD Logroñés Promesas
Racing Rioja CF",2.5 2.10 1.66,2.75 2.95 2.50
491,"UD Mutilvera
Burgos CF Promesas",2.5 2.43 1.50,2.10 3.00 3.25
492,"CD Tropezon
AD San Juan",2.5 2.28 1.57,2.20 3.00 3.10
493,"CD Laredo
Real Sociedad C",2.5 2.23 1.58,2.55 3.00 2.55
494,"CA Osasuna B
Peña Sport",2.5 2.17 1.62,1.62 3.20 5.50
495,"Espanyol B
Ebro",2.5 2.28 1.57,1.66 3.10 5.50
496,"SCR Peña Deportiva
CD Ibiza Islas Pitiusas",2.5 2.02 1.71,2.60 2.95 2.60
497,"Huesca B
CE Europa",2.5 2.20 1.60,1.90 3.00 4.00
498,"SD Ejea
CE Andratx",2.5 1.96 1.76,1.72 3.50 4.00
499,"SD Formentera
Lleida Esportiu",2.5 2.28 1.57,2.30 3.20 2.75
500,"Cadiz CF B
Velez CF",2.5 2.20 1.60,2.00 3.00 3.65
501,"CD San Roque de Lepe
Córdoba CF",2.5 1.81 1.91,3.75 3.00 1.95
502,"Antequera CF
Cacereño",2.5 2.08 1.68,2.40 2.80 2.90
503,"UD Montijo
Xerez Deportivo FC",2.5 2.02 1.71,2.35 2.90 2.95
504,"Don Benito
CF Panaderia Pulido",2.5 2.15 1.64,1.53 3.25 6.50
505,"CD Coria
Ceuta",2.5 2.23 1.58,2.40 3.20 2.65
506,"UD San Fernando
Merida AD",2.5 1.86 1.85,2.50 3.20 2.50
507,"UD Tamaraceite
Las Palmas Atlético",2.5 2.04 1.70,2.30 3.20 2.75
508,"CD Mensajero
Villanovense",2.5 2.40 1.50,3.60 2.75 2.10
509,"CD Parquesol CF (D)
Racing Santander (D)",2.5 1.64 2.12,3.60 3.50 1.75
510,"Real Betis Balompie B (W)
Granada CF (D)",2.5 1.62 2.17,3.50 3.40 1.80
511,"SE AEM (D)
Espanyol (D)",2.5 1.81 1.91,2.48 3.60 2.25
512,"Atlético Mancha Real
UD Socuéllamos",2.5 2.40 1.50,2.00 3.00 3.60
513,"Recreativo Granada
CF Intercity",2.5 2.23 1.58,2.55 3.00 2.55
514,"Melilla
Atlético Levante",2.5 2.23 1.58,2.10 3.10 3.20
515,"Mtibwa Sugar
Dodoma FC",1.5 2.55 1.47,3.20 2.18 3.20
516,"Young Africans SC
Azam FC",1.5 1.46 2.55,1.95 3.10 3.60
517,"Bangkok United
Nong Bua Pitchaya",3.5 2.38 1.50,1.28 4.60 7.00
518,"Port FC
Chonburi FC",2.5 1.60 2.20,1.77 3.60 3.60
519,"Samut Prakan City FC
Ratchaburi FC",2.5 1.76 1.96,2.04 3.20 3.15
520,"Buriram United
Muang Thong United",2.5 1.60 2.20,1.60 3.60 4.40
521,"Teplice
Slovan Liberec",2.5 1.90 1.82,8.00 4.10 1.38
522,"FC Fastav Zlín
České Budějovice",1.5 1.65 2.12,2.25 2.80 3.55
523,"Sigma Olomouc
Slovácko",2.5 1.93 1.82,2.90 3.35 2.30
524,"FC Strani
Vsetin",2.5 1.57 2.35,2.75 4.00 2.00
525,"MFK Karviná B
Vitkovice",3.5 1.80 1.91,1.50 4.50 4.50
526,"FC Spartak Velká Bíteš
TJ Sokol Tasovice",3.5 2.04 1.70,2.15 4.00 2.50
527,"FK Kozlovice
TJ Skaštice",3.5 1.81 1.91,1.20 6.00 9.00
528,"FK Dvůr Králové
Kutná Hora",3.5 1.75 1.98,1.36 4.75 6.00
529,"Slávia Kroměříž
SFK Vrchovina",3.5 2.00 1.73,1.20 5.25 8.00
530,"Sigma Olomouc B
FC Vysocina Jihlava B",3.5 1.68 2.06,1.25 4.90 6.50
531,"Slovácko B
FC Slovan Rosice",2.5 1.50 2.40,1.62 4.10 3.55
532,"SK Uničov
Apos Blansko",/,/
533,"Viktoria Žižkov
FC Vysocina Jihlava",3.5 2.25 1.57,2.05 3.75 2.75
534,"Sparta Praha B
Dukla Praha",2.5 1.67 2.08,2.25 3.20 2.80
535,"FK Pribram B
Motorlet Praha",3.5 2.02 1.72,2.14 3.60 2.55
536,"Hradec Kralove B
Bohemians 1905 B",3.5 2.02 1.72,2.60 3.55 2.12
537,"FK Pardubice B
Mladá Boleslav B",3.5 1.90 1.81,2.00 3.60 2.80
538,"Viktoria Plzeň B
Slavia Praha B",3.5 1.79 1.93,2.45 3.55 2.23
539,"SK Zápy
Teplice B",3.5 1.80 1.91,1.50 4.20 4.20
540,"Altay Izmir
Sivasspor",1.5 1.79 1.96,2.70 2.70 3.05
541,"Hatayspor
Beşiktaş A.Ş.",3.5 2.55 1.52,1.50 4.00 6.00
542,"Konyaspor
Fenerbahçe",2.5 1.89 1.91,2.85 3.35 2.33
543,"Kayserispor
Fatih Karagümrük",2.5 1.74 2.10,2.70 3.45 2.38
544,"Alanyaspor
Göztepe A.Ş.",2.5 1.65 2.23,1.62 4.00 4.80
545,"Manisa Büyükşehir Belediyespor
Boluspor",1.5 1.70 2.14,1.49 3.45 7.50
546,"Eyüpspor
Ankaragücü",2.5 1.73 2.00,2.10 3.25 3.05
547,"Ümraniyespor
Tuzlaspor",2.5 1.81 1.91,1.47 3.75 5.75
548,"Erzurumspor
Balikesirspor",2.5 1.70 2.02,1.30 4.35 7.50
549,"Etimesgut Bld. Spor
Çorum Belediyespor",2.5 2.02 1.72,2.80 3.15 2.20
550,"Kahramanmarasspor
Ankaraspor",2.5 1.57 2.28,7.50 4.25 1.28
551,"Sarıyer S.K.
Bodrumspor",2.5 2.02 1.72,2.55 3.10 2.43
552,"Sivas Dorteylul Belediyespor
Somaspor",2.5 1.72 2.02,1.30 4.40 6.50
553,"Ergene Velimese Spor
Adıyamanspor",2.5 1.78 1.93,2.10 3.15 3.05
554,"Turgutluspor
Inegölspor",2.5 1.91 1.81,2.30 3.10 2.70
555,"Nazilli Bld Spor
Isparta 32 Spor",2.5 2.02 1.72,2.48 3.15 2.48
556,"Utaş Uşakspor
Pendikspor",2.5 2.02 1.72,3.40 3.20 1.90
557,"Ankara Demirspor
Tarsus İdman Yurdu",2.5 1.91 1.81,1.90 3.30 3.30
558,"Malatya Yesilyurt Belediyespor
Siirt Il Özel Idaresi Spor",2.5 1.88 1.83,1.50 3.55 5.00
559,"Yomraspor
Bayrampasaspor",2.5 2.23 1.58,1.88 3.15 3.30
560,"Çarşambaspor
76 Igdir Belediyespor",2.5 2.28 1.57,2.95 2.88 2.15
561,"CA Boston River
CA River Plate (URU)",2.5 2.16 1.68,2.70 3.25 2.50
562,"CA Fénix Montevideo
Cerro Largo FC",2.5 2.28 1.60,2.55 3.05 2.55
563,"Sud America
Deportivo Maldonado",2.5 2.30 1.58,2.65 3.00 2.50
564,"Plaza Colonia
Progreso",2.5 2.14 1.67,1.78 3.50 3.80
565,"Montevideo City Torque
Villa Española",2.5 1.62 2.23,1.28 4.70 7.00
566,"Portuguesa FC
Aragua FC",2.5 2.20 1.60,2.43 2.90 2.70
567,"Academia Puerto Cabello
CS Hermanos Colmenarez",2.5 2.05 1.68,2.15 2.88 3.20
568,"Inter Miami CF
New York City FC",2.5 1.58 2.25,3.90 3.80 1.84
569,"Real Salt Lake
San Jose Earthquakes",2.5 1.57 2.28,1.64 4.10 4.80
570,"New York Red Bulls
CF Montreal",2.5 1.98 1.76,1.65 3.80 5.10
571,"Atlanta United FC
Toronto FC",3.5 2.38 1.53,1.44 4.75 6.25
572,"D.C. United
Columbus Crew",2.5 1.71 2.05,1.67 3.90 4.80
573,"FC Dallas
Austin FC",3.5 2.18 1.63,1.84 3.85 3.85
574,"Michigan Stars FC
Los Angeles Force",2.5 1.96 1.76,2.20 3.30 2.80
575,"Detroit City FC
California United Strikers FC",2.5 1.62 2.17,1.40 4.50 5.50
576,"New Amsterdam FC
Chicago House AC",2.5 1.81 1.90,2.10 3.50 2.80
577,"Maryland Bobcats FC
Chattanooga",2.5 1.96 1.76,2.30 3.60 2.50
578,"San Diego 1904
Stumptown Athletic FC",2.5 1.67 2.08,2.75 3.60 2.15
579,"Kansas City (D)
OL Reign (D)",2.5 2.08 1.68,3.75 3.60 1.80
580,"Portland Thorns FC (D)
North Carolina Courage (D)",2.5 2.25 1.58,2.10 3.60 2.85
581,"Loudoun United FC
New York Red Bulls Reserves",3.5 1.79 1.93,2.80 3.80 2.05
582,"New Mexico United
Real Monarchs SLC",2.5 1.54 2.33,1.33 4.60 7.10
583,"Charleston Battery
Miami FC",2.5 1.60 2.20,3.30 3.45 1.90
584,"Pittsburgh Riverhounds
Hartford Athletic",2.5 1.52 2.38,1.50 3.95 4.80
585,"Memphis 901 FC
Indy Eleven",2.5 1.80 1.91,1.75 3.50 3.75
586,"Birmingham Legion FC
Louisville City",2.5 1.94 1.78,2.70 3.10 2.40
587,"Tulsa Roughnecks
Oklahoma City Energy FC",2.5 1.81 1.91,1.75 3.45 4.00
588,"San Antonio FC
Colorado Springs Switchbacks FC",2.5 1.61 2.18,1.88 3.50 3.45
589,"Austin Bold FC
Charlotte Independence",2.5 1.72 2.00,3.15 3.10 2.10
590,"Rio Grande Valley FC
EL Paso Locomotive FC",2.5 2.12 1.64,2.15 3.10 3.05
591,"Las Vegas Lights FC
Tampa Bay Rowdies",3.5 2.20 1.60,6.00 4.35 1.40
592,"Oakland Roots SC
Sporting Kansas City II",2.5 1.66 2.10,1.60 3.70 4.35
593,"Los Angeles Galaxy Reserves
Orange County Blues FC",2.5 1.56 2.28,2.05 3.45 3.00
594,"Phoenix Rising FC
Tacoma Defiance",3.5 2.30 1.55,1.25 5.25 8.50
595,"Sacramento Republic
San Diego Loyal SC",2.5 1.83 1.88,2.05 3.30 3.15
596,"Torpedo Belaz Zhodino
Slavia Mozyr",1.5 1.73 2.00,2.25 2.75 3.60
597,"FC Minsk
Shakhtyor Soligorsk",2.5 1.57 2.28,6.40 4.30 1.37
598,"FK Arsenal Dzerzhinsk
Naftan Novopolotsk",2.5 1.81 1.90,1.75 3.55 3.85
599,"Shakhtar-2 Petrikov
FC Belshina Bobruisk",2.5 1.62 2.18,3.95 3.60 1.73
600,"FK Krumkachy Minsk
Dnepr Mogilev",2.5 1.85 1.87,2.08 3.45 3.00
601,"Mamelodi Sundowns
Cape Town City FC",2.5 2.07 1.72,1.60 3.40 5.00
602,"Daegu
Jeju United",2.5 2.12 1.67,2.40 3.10 2.85
603,"Ulsan Hyundai FC
Suwon City",2.5 1.72 2.07,1.70 3.75 4.30
604,"Gwangju FC
Gangwon",2.5 2.10 1.68,2.65 3.00 2.65
605,"Busan Transportation Corporation
Daejeon Korail",2.5 2.28 1.57,2.20 3.00 3.10
606,"Ulsan Citizen
Hwaseong FC",2.5 2.28 1.57,2.20 3.00 3.10
607,"Gyeongju KHNP
Gangneung City",2.5 1.96 1.76,1.60 3.50 5.00
608,"Jeonnam Dragons
Ansan Greeners FC",2.5 2.55 1.49,1.60 3.40 5.50
609,"Anyang FC
Bucheon FC 1995",2.5 1.94 1.81,1.45 4.00 6.25
610,"Chungnam Asan
Seoul E-Land",2.5 2.30 1.58,2.75 3.00 2.50
611,"Sangju Sangmu Phoenix
Busan I Park",2.5 1.89 1.86,1.62 3.80 4.60
612,"Gyeongnam
Daejeon Citizen",2.5 2.06 1.72,2.15 3.15 3.20
613,"Varbergs BoIS
Östersunds FK",2.5 1.62 2.20,1.10 9.00 31.00
614,"IK Sirius FK
Malmö FF",1.5 1.47 2.50,5.10 3.25 1.79
615,"BK Häcken
Kalmar FF",2.5 1.83 1.98,1.88 3.70 4.00
616,"Västerås SK FK
Örgryte IS",2.5 1.53 2.38,1.24 5.10 11.50
617,"Akropolis IF
Trelleborgs FF",2.5 2.07 1.76,3.10 3.35 2.20
618,"Hudiksvalls Förenade FF
Örebro Syrianska IF",2.5 1.86 1.85,1.85 3.65 3.55
619,"Hammarby TFF
Umeå FC",3.5 2.25 1.57,3.00 3.60 2.05
620,"IFK Malmö FK
Vänersborgs IF",2.5 1.60 2.20,2.00 3.50 3.20
621,"Storfors AIK
Gottne IF",2.5 1.55 2.30,2.95 3.35 2.00
622,"Lidköpings FK
Vänersborgs FK",3.5 1.91 1.81,2.38 3.35 2.38
