,Games,Over/Under,3-way
70,"Cherno More Varna
Levski Sofia",2.5 2.28 1.58,2.07 3.20 3.25
71,"Pirin Blagoevgrad
Tsarsko Selo 2015",2.5 1.97 1.76,1.93 3.45 3.40
72,"CSKA Sofia Reserves
Minyor Pernik",2.5 2.00 1.73,4.10 3.25 1.70
73,"Forge FC
HFX Wanderers",2.5 1.96 1.76,1.72 3.40 4.20
74,"Cavalry FC
Valour FC",2.5 2.02 1.70,1.72 3.50 4.00
75,"Pacific FC
York 9 FC",2.5 1.96 1.76,2.20 2.90 3.10
76,"Universidad de Chile
Curicó Unido",2.5 2.16 1.66,2.23 3.00 3.00
77,"Unión Española
Everton de Viña del Mar",2.5 2.12 1.68,2.55 3.00 2.55
78,"Deportes Copiapó
Magallanes",2.5 2.16 1.65,2.10 2.95 3.10
79,"San Luis Quillota
Coquimbo Unido",2.5 2.55 1.49,3.60 2.80 2.00
80,"Deportes Recoleta
Iberia",2.5 1.97 1.76,2.10 3.20 2.90
81,"Atlético Bucaramanga
Envigado FC",2.5 2.28 1.62,1.92 3.20 3.95
82,"Millonarios FC
La Equidad Seguros",2.5 2.25 1.63,1.61 3.45 5.75
83,"Valledupar FC
Boca Juniors de Cali",2.5 2.06 1.72,1.50 3.80 5.50
84,"Orsomarso
Real Cartagena",2.5 2.32 1.58,3.65 3.15 1.91
85,"Bogotá FC
Llaneros F.C.",2.5 2.35 1.56,2.15 3.05 3.15
86,"Fortaleza FC
Cortuluá",2.5 2.16 1.66,2.28 3.00 2.95
87,"Boyacá Chicó
Unión Magdalena",2.5 2.28 1.58,1.75 3.30 4.25
88,"Barranquilla FC
Tigres FC",1.5 1.53 2.43,2.10 2.90 3.45
89,"Marineros de Puntarenas
AD Carmelita",2.5 1.78 1.93,2.04 3.20 3.00
90,"Puerto Golfito FC
AD Aserri",2.5 2.02 1.72,2.20 3.00 2.88
91,"Barrio Mexico
CS Uruguay",2.5 1.72 2.00,1.75 3.45 3.60
92,"Guadalupe
ADR Jicaral",2.5 1.80 1.93,2.00 3.50 3.20
93,"Santos de Guápiles
Municipal Pérez Zeledón",2.5 1.86 1.86,1.85 3.40 3.70
94,"LD Alajuelense
Deportivo Saprissa",2.5 1.56 2.30,2.00 3.50 3.15
95,"Doxa Katokopias
Apoel Nicosia",2.5 2.23 1.54,5.00 3.60 1.58
96,"AEL Limassol
Aris Limassol",2.5 1.64 2.04,1.53 4.00 4.90
97,"Randers FC
FC Midtjylland",2.5 2.00 1.81,3.20 3.45 2.23
98,"FC Nordsjælland
AaB Aalborg",2.5 1.65 2.25,2.75 3.60 2.43
99,"Jammerbugt FC
Nykøbing FC",4.5 2.38 1.64,/ 1001.00 /
100,"FC Fredericia
Vendsyssel FF",2.5 1.68 2.17,1.77 3.70 4.20
101,"Fremad Amager
Hvidovre",2.5 1.74 2.08,3.35 3.45 2.04
102,"Arminia Bielefeld
Mainz 05",2.5 2.08 1.75,3.45 3.30 2.15
103,"SC Freiburg
Greuther Fürth",2.5 1.70 2.10,1.41 4.60 7.00
104,"1. FC Union Berlin
Bayern München",3.5 2.20 1.67,8.50 5.50 1.30
105,"Borussia Dortmund
1. FC Köln",3.5 2.38 1.55,1.45 4.90 6.00
106,"Bayer Leverkusen
VfL Wolfsburg",2.5 1.73 2.05,1.90 3.65 3.85
107,"Eintracht Frankfurt
RB Leipzig",2.5 1.56 2.43,4.30 4.20 1.74
108,"Hamburger SV
Holstein Kiel",2.5 1.58 2.38,1.70 3.95 4.50
109,"Hansa Rostock
Fortuna Düsseldorf",2.5 1.74 2.10,3.15 3.50 2.16
110,"FC Ingolstadt
Jahn Regensburg",2.5 1.82 1.98,3.15 3.40 2.20
111,"Karlsruher SC
SC Paderborn 07",2.5 1.56 2.43,2.70 3.65 2.40
112,"FC Viktoria 1889 Berlin
Borussia Dortmund II",2.5 2.48 1.50,6.75 1.41 4.20
113,"Eintracht Braunschweig
Wehen Wiesbaden",3.5 2.12 1.65,15.00 4.40 1.23
114,"SV Meppen
SV Türkgücü-Ataspor München",2.5 1.78 1.98,2.05 3.40 3.30
115,"1. FC Kaiserslautern
FC Würzburger Kickers",2.5 1.90 1.86,1.78 3.70 3.90
116,"Jahn Regensburg II
TSV Landsberg",3.5 2.25 1.58,2.80 3.15 2.18
117,"Sv Neuhof
TSV Eintracht Stadtallendorf",3.5 1.76 1.97,8.50 6.00 1.15
118,"FC 1906 Erlensee
KSV Baunatal",3.5 2.12 1.65,1.72 3.70 3.40
